"","HUC","Stressor","simulation","dose","sys.cap"
"436","0401010502","StressorA","40",0.699999610430537,0.531077968381558
"437","0401010502","StressorA","41",0.699999725663464,0.531077957062593
"438","0401010502","StressorA","42",0.69999952059319,0.531077977205996
"439","0401010502","StressorA","43",0.700000102032653,0.531077920093055
"440","0401010502","StressorA","44",0.700000677535961,0.53107786356325
"441","0401010502","StressorA","45",0.699999197644989,0.531078008928187
"442","0401010502","StressorA","46",0.700000420336962,0.53107788882706
"443","0401010502","StressorA","47",0.700000162672348,0.531077914136614
"444","0401010502","StressorA","48",0.700000651576973,0.531077866113115
"445","0401010502","StressorA","49",0.700001189674291,0.531077813257618
"446","0401010502","StressorA","5",0.700000521898411,0.531077878851012
"447","0401010502","StressorA","50",0.700000295856329,0.531077901054385
"448","0401010502","StressorA","51",0.69999975939598,0.531077953749155
"449","0401010502","StressorA","52",0.700000585213939,0.531077872631737
"450","0401010502","StressorA","53",0.70000109964909,0.53107782210049
"451","0401010502","StressorA","54",0.699999699104584,0.531077959671387
"452","0401010502","StressorA","55",0.700000378633303,0.531077892923473
"453","0401010502","StressorA","56",0.700000597269451,0.531077871447564
"454","0401010502","StressorA","57",0.699999380289988,0.531077990987539
"455","0401010502","StressorA","58",0.699998887600855,0.531078039382866
"456","0401010502","StressorA","59",0.70000024090457,0.531077906452117
"457","0401010502","StressorA","6",0.699999908551188,0.531077939098116
"458","0401010502","StressorA","60",0.699999648253386,0.531077964666339
"459","0401010502","StressorA","61",0.700000692765527,0.5310778620673
"460","0401010502","StressorA","62",0.699999587683546,0.531077970615923
"461","0401010502","StressorA","63",0.699999620632219,0.531077967379479
"462","0401010502","StressorA","64",0.699999514496791,0.531077977804826
"463","0401010502","StressorA","65",0.700001193699589,0.531077812862227
"464","0401010502","StressorA","66",0.700000591413961,0.531077872022729
"465","0401010502","StressorA","67",0.699998898839145,0.531078038278963
"466","0401010502","StressorA","68",0.700000937976958,0.531077837980999
"467","0401010502","StressorA","69",0.699999924405992,0.53107793754075
"468","0401010502","StressorA","7",0.699999296724861,0.53107799919588
"469","0401010502","StressorA","70",0.699999698515441,0.531077959729257
"470","0401010502","StressorA","71",0.699999029785688,0.531078025416487
"471","0401010502","StressorA","72",0.70000087885958,0.531077843787902
"472","0401010502","StressorA","73",0.700000020422732,0.531077928109334
"473","0401010502","StressorA","74",0.700000263498537,0.531077904232786
"474","0401010502","StressorA","75",0.700000081394796,0.531077922120245
"475","0401010502","StressorA","76",0.699999526199045,0.531077976655351
"476","0401010502","StressorA","77",0.699999291574203,0.531077999701813
"477","0401010502","StressorA","78",0.699999373724485,0.531077991632448
"478","0401010502","StressorA","79",0.699999728882012,0.531077956746445
"479","0401010502","StressorA","8",0.699999337168173,0.53107799522326
"480","0401010502","StressorA","80",0.699999485710724,0.531077980632391
"481","0401010502","StressorA","81",0.700000524494738,0.531077878595984
"482","0401010502","StressorA","82",0.699999997606167,0.531077930350532
"483","0401010502","StressorA","83",0.699999803035968,0.531077949462539
"484","0401010502","StressorA","84",0.699999711423201,0.531077958461369
"485","0401010502","StressorA","85",0.700000257535216,0.531077904818543
"486","0401010502","StressorA","86",0.700000644252522,0.531077866832572
"487","0401010502","StressorA","87",0.699999977206361,0.531077932354339
"488","0401010502","StressorA","88",0.699999723478271,0.531077957277238
"489","0401010502","StressorA","89",0.699998806620006,0.531078047337367
"490","0401010502","StressorA","9",0.699999248045527,0.531078003977499
"491","0401010502","StressorA","90",0.699999744914442,0.531077955171631
"492","0401010502","StressorA","91",0.699999009248725,0.531078027433769
"493","0401010502","StressorA","92",0.700000363088494,0.531077894450389
"494","0401010502","StressorA","93",0.699999785665363,0.531077951168798
"495","0401010502","StressorA","94",0.699999343703264,0.531077994581338
