"","scenario","HUC","simulation","CE"
"161","base_unc",1701010202,61,0.150216381792584
"162","base_unc",1701010202,62,0.0498278438401923
"163","base_unc",1701010202,63,0.18148115649646
"164","base_unc",1701010202,64,0.190508123956206
"165","base_unc",1701010202,65,0.337496513181406
"166","base_unc",1701010202,66,0.0545064286017582
"167","base_unc",1701010202,67,0.157518051956487
"168","base_unc",1701010202,68,0.253140389830912
"169","base_unc",1701010202,69,0.126469677073556
"170","base_unc",1701010202,70,0.101450169041767
"171","base_unc",1701010202,71,0.00690264520563326
"172","base_unc",1701010202,72,0.254562677670263
"173","base_unc",1701010202,73,0.142806178985588
"174","base_unc",1701010202,74,0.151984824622697
"175","base_unc",1701010202,75,0.189295684898595
"176","base_unc",1701010202,76,0.0281010454323947
"177","base_unc",1701010202,77,0.120835246967227
"178","base_unc",1701010202,78,0.0981183843580777
"179","base_unc",1701010202,79,0.023635707266464
"180","base_unc",1701010202,80,0.105985981486793
"181","base_unc",1701010202,81,0.201106009372344
"182","base_unc",1701010202,82,0.139328607499957
"183","base_unc",1701010202,83,0.206600115833187
"184","base_unc",1701010202,84,0.0996932272586716
"185","base_unc",1701010202,85,0.173472815393678
"186","base_unc",1701010202,86,0.107532096428389
"187","base_unc",1701010202,87,0.0279227701554649
"188","base_unc",1701010202,88,0.147516387939676
"189","base_unc",1701010202,89,0.121067135657712
"190","base_unc",1701010202,90,0.0981502623051328
"191","base_unc",1701010202,91,0.102554221424229
"192","base_unc",1701010202,92,0.139753467352429
"193","base_unc",1701010202,93,0.0991607252134907
"194","base_unc",1701010202,94,0.269330908872235
"195","base_unc",1701010202,95,0.174168477723884
"196","base_unc",1701010202,96,0.171352316953176
"197","base_unc",1701010202,97,0.126044828068049
"198","base_unc",1701010202,98,0.0264915233985317
"199","base_unc",1701010202,99,0.257092682149382
"200","base_unc",1701010202,100,0.120608699768351
"201","base_unc",1701010203,1,0
"202","base_unc",1701010203,2,0
"203","base_unc",1701010203,3,0
"204","base_unc",1701010203,4,0
"205","base_unc",1701010203,5,0
"206","base_unc",1701010203,6,0
"207","base_unc",1701010203,7,0
